EC,OutsideFarm-13,OutsideFarm-9,Baseline-28,Baseline-17,Baseline-4,Baseline-27,Baseline-13,Baseline-21,Baseline-16,Baseline-29,Baseline-8,Baseline-5,OutsideFarm-6,OutsideFarm-7,OutsideFarm-3,Baseline-1,OutsideFarm-11,Baseline-25,TxAntibiotic-10,Baseline-11,TxAntibiotic-2,OutsideFarm-1,Baseline-31,OutsideFarm-2,Baseline-14,Baseline-20,Baseline-30,Baseline-32,Baseline-7,Baseline-9,TxAntibiotic-1,Baseline-24,Baseline-12,TxAntibiotic-5,TxAntibiotic-3,OutsideFarm-4,Baseline-3,Baseline-10,Baseline-6,TxAntibiotic-12,TxAntibiotic-6,OutsideFarm-5,TxAntibiotic-7,Baseline-2,OutsideFarm-10,Baseline-19,OutsideFarm-8,TxAntibiotic-8,Baseline-18,TxAntibiotic-4,TxAntibiotic-9,OutsideFarm-12,Baseline-33,Baseline-22,Baseline-23,TxAntibiotic-11,Baseline-26,Baseline-15,Neg-1,Neg-2,Neg-4,Neg-3,Neg-5,SequencingBlank,Neg-6
2.3.1.15,0.00107981,0.001662457,0.001929678,0.00143405,0.001643837,0.001507768,0.001498593,0.001279704,0.001546782,0.001049823,0.00163783,0.00130792,0.001166127,0.001600806,0.001159645,0.001144429,0.001052529,0.00135662,0.001613755,0.001365935,0.001355387,0.001169649,0.001794253,0.001288476,0.001308935,0.001420421,0.00109294,0.001216646,0.001323795,0.001254448,0.001268868,0.001496897,0.001313907,0.001294238,0.001198051,0.001088096,0.001196775,0.001293176,0.001161828,0.001305456,0.001450865,0.001154592,0.001743184,0.001337112,0.001241056,0.001369294,0.001350109,0.001669304,0.001454669,0.00132644,0.001629759,0.001535374,0.001642106,0.001333763,0.001471521,0.001560335,0.001504633,0.001308826,0.001234688,0.001600356,0.001312853,0.001519132,0.00114826,0.001350101,0.001131033
2.3.1.180,0.002677186,0.003552802,0.003248789,0.00309588,0.003407772,0.003127902,0.003627709,0.003022014,0.003542216,0.003121162,0.003579966,0.00337466,0.003411397,0.00307749,0.003286582,0.003138576,0.003077695,0.003316372,0.002966312,0.003346188,0.003148782,0.003235742,0.002853256,0.003280223,0.00335689,0.003257197,0.003208918,0.00316616,0.003285815,0.003137279,0.003184782,0.003124717,0.00336165,0.003250184,0.003148196,0.00332633,0.003181802,0.003263636,0.003243716,0.00328905,0.003227316,0.003166778,0.002857829,0.003308973,0.003339388,0.003381115,0.003270538,0.003332751,0.00359033,0.003297121,0.00307673,0.003242736,0.003335346,0.003145844,0.003258233,0.003054254,0.003577908,0.003287444,0.003039208,0.002655186,0.003481289,0.003245903,0.002521352,0.002990197,0.004212966
2.3.1.181,0.001002064,0.001235403,0.001144729,0.001031145,0.001078082,0.001148272,0.001172704,0.001008157,0.001254489,0.000974707,0.00116408,0.000931681,0.000910453,0.001122999,0.000863089,0.000879124,0.00087482,0.000928675,0.001306337,0.000978442,0.000956781,0.000849715,0.001177304,0.000884871,0.000930652,0.000969357,0.000930188,0.000935938,0.000825641,0.000939995,0.00087457,0.001029675,0.000922845,0.00107158,0.000885236,0.000863821,0.000878828,0.000980294,0.00085033,0.001058439,0.001141244,0.000895808,0.001080279,0.000963958,0.000796987,0.000959083,0.001010722,0.001056479,0.001069922,0.000930902,0.001046235,0.00098716,0.000950877,0.000968313,0.000975001,0.001055818,0.001010914,0.000912632,0.00092376,0.000843954,0.000942357,0.001277609,0.001116435,0.001348652,0.000974669
2.3.1.20,0.001501022,0.002883209,0.002131706,0.002116571,0.002968743,0.002079078,0.002820889,0.002112264,0.002846992,0.002659336,0.002813541,0.002704374,0.002685879,0.00214639,0.002756251,0.002638559,0.002648637,0.002779315,0.001710093,0.002625222,0.0027699,0.002394185,0.001542497,0.0026683,0.00273653,0.002773375,0.002621066,0.002743812,0.002701284,0.002756773,0.002437639,0.002150641,0.002825515,0.002729853,0.002557162,0.002793065,0.002654047,0.002566424,0.002583658,0.002753951,0.002435048,0.002517237,0.001653707,0.002473385,0.002602912,0.002482652,0.002268772,0.002451817,0.00237788,0.002664052,0.001718774,0.00207936,0.002063655,0.002452113,0.002196522,0.001990357,0.001661066,0.002146137,0.001942513,0.003048354,0.002082989,0.001967708,0.002425535,0.00181428,0.002378991
2.3.1.247,0.000869673,0.001160793,0.000728391,0.000833254,0.001158864,0.00077237,0.001096454,0.000741478,0.001224551,0.000907316,0.001111787,0.00087187,0.000889188,0.000744531,0.000906092,0.000909201,0.000824679,0.000877205,0.000824479,0.000875822,0.00090556,0.000808782,0.000774927,0.000872141,0.00091827,0.000980133,0.000875287,0.000880956,0.000856559,0.000908403,0.000863479,0.000826709,0.000932367,0.00090826,0.000918192,0.000952245,0.00086202,0.00096878,0.000908416,0.000763832,0.000826166,0.000803309,0.00072414,0.000933065,0.000908743,0.000891026,0.000859433,0.00094827,0.000831733,0.000962352,0.000706813,0.000711607,0.000732757,0.000871122,0.000797975,0.000862483,0.000627653,0.000728675,0.000561089,0.000693841,0.000428455,0.001105026,0.000542391,0.000761418,0.000858438
2.3.1.30,0.001579742,0.001559848,0.001789608,0.001625692,0.001546708,0.001588551,0.001631872,0.001516388,0.001439175,0.001390148,0.001588203,0.00149912,0.001531914,0.001800046,0.001446024,0.001461799,0.001551136,0.001518879,0.001828074,0.001543775,0.001389534,0.001476053,0.001658289,0.001473831,0.001558242,0.001445112,0.001303589,0.001466979,0.001419768,0.001413878,0.001590808,0.001503421,0.00136742,0.001394768,0.001531184,0.001435069,0.001499195,0.001402532,0.001457307,0.001723894,0.001395715,0.001452576,0.001809016,0.001409086,0.001458812,0.00142198,0.00146941,0.001664881,0.001532692,0.001509771,0.001643445,0.001688816,0.001789503,0.001365619,0.001562236,0.00152579,0.001629372,0.001384317,0.00168336,0.001264808,0.001769348,0.001622776,0.001978618,0.001311497,0.001481983
2.3.1.39,0.002131252,0.002044437,0.002419335,0.002285827,0.001833055,0.002205009,0.002009105,0.002316392,0.001904686,0.001751987,0.002025064,0.001889493,0.001871214,0.002343302,0.001818081,0.001759695,0.001834008,0.001814066,0.002186933,0.001696975,0.001937212,0.001965067,0.002302204,0.001854255,0.00186724,0.001819315,0.001716004,0.001767299,0.001828298,0.001865556,0.001756163,0.00228469,0.00199989,0.001974533,0.001876769,0.001790741,0.001800615,0.001857452,0.001790054,0.00197093,0.001885651,0.00181159,0.002460399,0.001755633,0.001733728,0.001799964,0.002023855,0.001980953,0.001910163,0.00193227,0.002145778,0.00189613,0.002125282,0.0018503,0.001722083,0.002161222,0.002163223,0.00175684,0.0022358,0.001598559,0.002026023,0.002795921,0.002138256,0.001748663,0.002301504
2.3.1.47,0.001053223,0.001443726,0.001034974,0.001073939,0.00131837,0.001141355,0.001449194,0.001102507,0.00129373,0.00128624,0.001362439,0.001244248,0.001227509,0.000977902,0.001305111,0.001283592,0.00114914,0.001326889,0.001075266,0.001307939,0.001321897,0.001083679,0.000872696,0.001314335,0.001127942,0.001216496,0.001247258,0.001200379,0.001211549,0.00121922,0.001145798,0.001139073,0.001242623,0.001306876,0.001203154,0.001145816,0.001248699,0.001289344,0.001198056,0.001355298,0.00134449,0.001154592,0.000765861,0.001217591,0.001230231,0.00114697,0.001102937,0.001114018,0.00124875,0.001213499,0.000734574,0.001042525,0.000963076,0.001129859,0.001046084,0.001033609,0.000801129,0.001054107,0.000725125,0.001176807,0.000656537,0.001139261,0.000989309,0.001127172,0.001443066
2.3.1.5,0.001221463,0.000843783,0.00092159,0.000891406,0.000803308,0.000910157,0.000808041,0.000839428,0.00086144,0.000873159,0.00090586,0.000880398,0.000841524,0.000960997,0.000816706,0.000832639,0.000823542,0.000845368,0.000905191,0.000794857,0.000874056,0.000753688,0.001104247,0.000758735,0.000886645,0.000811411,0.000832336,0.000777764,0.000745763,0.000857096,0.00081029,0.000961202,0.000888564,0.000837762,0.000695904,0.000853912,0.000768907,0.00078838,0.000804132,0.000986012,0.000957666,0.000812635,0.001076536,0.000844539,0.000745603,0.000848599,0.000911171,0.00096555,0.000991377,0.000892088,0.001076225,0.000889122,0.000819637,0.000845391,0.000819426,0.000868873,0.000909718,0.000832477,0.000492046,0.000813123,0.000827764,0.000932442,0.00089332,0.00057999,0.000974322
2.3.1.54,0.002493396,0.000598241,0.001222915,0.001233397,0.000607071,0.001259187,0.000591758,0.001467828,0.000563957,0.000721058,0.000618327,0.000744403,0.000770649,0.001080323,0.000806838,0.000954171,0.00104069,0.000884316,0.001399381,0.000751368,0.000832013,0.001117254,0.001173763,0.000838328,0.000881425,0.000802321,0.000757329,0.00082704,0.000740182,0.000778406,0.000793736,0.001443404,0.000772211,0.000861572,0.001128372,0.000634231,0.000741491,0.000748652,0.000709784,0.001041532,0.001058292,0.001187548,0.001341373,0.000793592,0.000699071,0.001001639,0.000971368,0.000957741,0.001093306,0.000889608,0.000971179,0.000943115,0.000979114,0.000852962,0.001028966,0.001375575,0.001691851,0.000886643,0.003773666,0.000905167,0.001198591,0.001104674,0.000989309,0.001237188,0.000819
