Name,Cumul.reads_dtBaseline_1_2018-09-05_ds10813553,Cumul.reads_dtBaseline_10_2018-09-14_ds10813559,Cumul.reads_dtBaseline_11_2018-09-15_ds10813571,Cumul.reads_dtBaseline_12_2018-09-16_ds10813570,Cumul.reads_dtBaseline_13_2018-09-17_ds10813556,Cumul.reads_dtBaseline_14_2018-09-18_ds10813558,Cumul.reads_dtBaseline_15_2018-09-19_ds10813575,Cumul.reads_dtBaseline_16_2018-09-20_ds10811746,Cumul.reads_dtBaseline_17_2018-09-21_ds10813554,Cumul.reads_dtBaseline_18_2018-09-22_ds10813555,Cumul.reads_dtBaseline_19_2018-09-23_ds10813563,Cumul.reads_dtBaseline_2_2018-09-06_ds10813564,Cumul.reads_dtBaseline_20_2018-09-24_ds10813569,Cumul.reads_dtBaseline_21_2018-09-25_ds10813551,Cumul.reads_dtBaseline_22_2018-09-26_ds10813572,Cumul.reads_dtBaseline_23_2018-09-27_ds10813557,Cumul.reads_dtBaseline_24_2018-09-28_ds10813561,Cumul.reads_dtBaseline_25_2018-09-29_ds10811749,Cumul.reads_dtBaseline_26_2018-09-30_ds10813560,Cumul.reads_dtBaseline_27_2018-10-01_ds10813567,Cumul.reads_dtBaseline_28_2018-10-02_ds10813574,Cumul.reads_dtBaseline_29_2018-10-03_ds10813578,Cumul.reads_dtBaseline_3_2018-09-07_ds10811748,Cumul.reads_dtBaseline_30_2018-10-04_ds10811747,Cumul.reads_dtBaseline_31_2018-10-05_ds10813562,Cumul.reads_dtBaseline_32_2018-10-06_ds10813566,Cumul.reads_dtBaseline_33_2018-10-07_ds10813573,Cumul.reads_dtBaseline_4_2018-09-08_ds10813565,Cumul.reads_dtBaseline_5_2018-09-09_ds10813552,Cumul.reads_dtBaseline_6_2018-09-10_ds10813576,Cumul.reads_dtBaseline_7_2018-09-11_ds10813577,Cumul.reads_dtBaseline_8_2018-09-12_ds10811750,Cumul.reads_dtBaseline_9_2018-09-13_ds10813568,Cumul.reads_dtKefir_ds10826596,Cumul.reads_dtNeg_DNAextr_1_ds10826595,Cumul.reads_dtNeg_DNAextr_2_ds10828555,Cumul.reads_dtNeg_DNAextr_3_ds10828557,Cumul.reads_dtNeg_DNAextr_4_ds10828558,Cumul.reads_dtNeg_DNAextr_5_ds10826597,Cumul.reads_dtNeg_DNAextr_6_ds10828559,Cumul.reads_dtOutsideFarm_1_2018-09-05_ds10826589,Cumul.reads_dtOutsideFarm_10_2018-10-01_ds10826591,Cumul.reads_dtOutsideFarm_11_2018-10-03_ds10826593,Cumul.reads_dtOutsideFarm_12_2018-10-06_ds10828553,Cumul.reads_dtOutsideFarm_13_2018-10-07_ds10828554,Cumul.reads_dtOutsideFarm_2_2018-09-10_ds10828551,Cumul.reads_dtOutsideFarm_3_2018-09-11_ds10826599,Cumul.reads_dtOutsideFarm_4_2018-09-12_ds10826598,Cumul.reads_dtOutsideFarm_5_2018-09-17_ds10828552,Cumul.reads_dtOutsideFarm_6_2018-09-20_ds10826592,Cumul.reads_dtOutsideFarm_7_2018-09-22_ds10826594,Cumul.reads_dtOutsideFarm_8_2018-09-24_ds10826590,Cumul.reads_dtOutsideFarm_9_2018-09-28_ds10826600,Cumul.reads_dtSequencingBlank_ds10828556,Cumul.reads_dtTxAntibiotic_1_2018-09-06_ds10798909,Cumul.reads_dtTxAntibiotic_10_2018-10-03_ds10798906,Cumul.reads_dtTxAntibiotic_11_2018-10-04_ds10798915,Cumul.reads_dtTxAntibiotic_12_2018-10-05_ds10798912,Cumul.reads_dtTxAntibiotic_2_2018-09-07_ds10798908,Cumul.reads_dtTxAntibiotic_3_2018-09-13_ds10798911,Cumul.reads_dtTxAntibiotic_4_2018-09-14_ds10798910,Cumul.reads_dtTxAntibiotic_5_2018-09-19_ds10798913,Cumul.reads_dtTxAntibiotic_6_2018-09-20_ds10798904,Cumul.reads_dtTxAntibiotic_7_2018-09-21_ds10798907,Cumul.reads_dtTxAntibiotic_8_2018-09-26_ds10798914,Cumul.reads_dtTxAntibiotic_9_2018-09-29_ds10798905
Lactobacillus,4,3,4,4,3.1,4,6,5,5,6,4,3,5,9,5.46,4,5,4,10,5,5,4,5,3.16,6,4,6,4,5,5,4,3.81,5,10,10,3.72,4,4.6,4,4.56,10,5,9,6,8,3.01,4,4,10,5,5,7,4,5.91,8,4,5,4,5,10,5,4.04,5,9,5,5
Lactococcus,6,5,5,6,5,6,7,6,7,5,7,4.99,5,10,7,6,7,5,10,6,8,4.13,5,4,8,4,7,5,6,6,5,5.04,6,10,10,6,6,7,6,7,10,6,9,6,9,5,5,5,10,6,7,7,5.13,6,8,8,7,5,5,10,6,6,6.01,10,7,9
Lawsonella,3,4,3,4,4,4,3.53,4,4,4,3.01,4,4,3,4,3,4,4,1,4,4,4,4,4,2,3.99,3,2.45,5,4,3.03,3.01,4,2.97,1,2.03,3,2.78,2.63,1,3,4,4,4,4,3.89,5,4,3,5,3.27,4,4,1,3,3,3,5,4,3,3,4,4,2.68,4,2
Leclercia,4,5.02,4,4.01,2.35,6,3,3.02,4,5,3,5,5,3,2.31,3,4,5,3,4,4,5.79,4,5.99,3.34,5,5,2.89,4,4,3.97,3,4,2.95,2,3,3,2.7,3.29,1,2,4,5,5,3.98,5,4,4,2,5,3,4,3,1,3,4,4,5,4,3,3.07,4,4,2,2,2
Leifsonia,2,2,2.01,2.06,2.06,3,1,1,3,2,3,2.99,1,1,1,2,2,2,2,2.45,2,3,3,1,2,2,1,1,2,2,2,2.59,2.12,1.6,1,1,1,2,1,1,2,3,2,1,2.97,2,2,2,2,2.03,2,3,2.81,1,2,2,2,3,2,1,2,2,2,1,1,1
Lelliottia,2,3,2.04,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2.58,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,3,2,2,2,1,2,1,2,1,2,1,1
Lentzea,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.99,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,2,1,2,1,1.99,1,1,1,1,1,1,2,2,1,1,1,1,1
Leptotrichia,2,2,3,4,4,3.34,4.05,4,4,2.87,3,2,3,3,3.04,3,5,2,1,4,6,3,3,2,4,2,4,2.54,3,3,2,3,3,2.1,1,1,1,3.65,1,4,2.93,3,2,3,3,3,4,1,2.99,2.7,4,4,4,2.07,2,3,4,3,4,1,3,3.6,3,3,4,4
Leuconostoc,6,8,7,7,7,8,8,7.99,7,8,7,8,7,7,8,8,8,7,6,7,8,4,7,4,4,4,5,7,7.8,7,7,7.04,7,8,6.9,7,6.39,7.99,7,7,5.01,7,4,7,4,8,7,7,6,8,8,8,7,7,5.97,9,8,5,7,5,6,6,7,7,7,7
Listeria,4,5,5,4,3,5,6,3,7,5,6,4.11,4,6,5,5,5,4,7,7,6,3,5,3,5,2.16,2,3,5,4,4,4,4,6,4.98,1,3,5,5,5,4,4.98,3,3,3,5,3.79,4,5,4,5,5,4,1,4,7,4,3,4,4,4,3.11,4,6,4,7
Luteipulveratus,2,1,2,2.02,1,2,2.03,1,2,2,2,1,2,1,1,2,2,2,1,2,2,4,1,3.59,2,3,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,3,1,2.83,2,1,2,2,2,2,1,1,1,2,1,2,3,2,2,1,2,1,1,1,1
Lysinibacillus,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,3,2,1,3,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2.14,2,2.1,2,1,1,2,2,2,1,1,2,3,3,1,2,2,2,2,2.18,2,1,2
Lysobacter,3,3.43,3,4,3,3,2,2.98,4,2,4,3,3,2,3.85,2,3,3.22,1,3,3,5,4,4.99,2,4,3,2.98,4,4,2,4,4,2.02,2.74,1,2.01,1,2,2,2,3,4,2.14,3,3,3.01,4,2.75,3,3,3,3,1,3,2,2.64,5,3,2,3,2.98,3,2,2,1
Macrococcus,3,1,2,2,2.31,2,3,1,3,2,3,2,1,3,4,3,3,2,2,3,3.97,2,1,2.98,3,3,3,2,3,2,2,1,2,1.55,1,1,1,1,1,2,2,3,3,2.12,3,2.79,2,1,2,3,3,4,1,1,2,3,3,4,2,1,1,2,1,2,2.01,2
Magnetospirillum,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,3,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2
Mannheimia,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1
Marinilactibacillus,2,1,2,1,1,3,1,1,1,1,2,2,1,2,1,1,3,1,2,2,1,1,1,1,1,1,1,1.99,1,1,1,1,1,1.97,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,3,2,2,1,1,1,1,2,1,1,1,1
Marinobacter,2,2,3,3,3.98,3,2.04,3.48,2,3,3,3,3,2,1,2,2.59,2.56,1,2,3,3,3,1,1,2,1,3.01,3,3,2,4,2,1,1,2.06,1,1,1,1,3,2,2,2,1,3,2,2.78,2,2.03,2,1,3,1,2,2,2,2,2,2,3,2.14,2,2,2,2
Marinobacterium,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2.26,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1
Martelella,2.63,2,2,3,2.04,2,2.07,1,3,2,2,1,2,2,2,1,1,2,1,2,1,1,2.23,1,1,1,1,2,2,2,3,1,2.84,1.49,1,1,1,2,1,1,1,1,1,1,2.15,1,2.88,4,1,2.01,1,1,3,1,2,2,1,3,2,1,1,2,2,1,1,1
Massilia,1,2,2,2,2.75,3,1,2,3,2,2,2,2,2,3,1,2,2,1,2,3,3,2.98,3,2,3,3,2.13,3,2.46,1,2,2,2.13,1,1,1,1,2,1,2.94,1,3,2,2.92,2.12,3,2,2,2.02,3,2,2,1,2,2,2,4,2,2,3,2.38,2.94,2,2,2
Mesorhizobium,2,2,3,2.92,2,2,1,2.08,3,2,2,2,3,3,1,2,2,2.53,2,2,2,3,2,3,1,2,2,1,3,3,2,1,3,1.83,1,1,1,1,1,1,2,3,2,1,1.99,2.1,2,3,3,3,2,2,1,3.08,2,1,2,3,3,2.01,3,2,2,1,2,2
Methanobrevibacter,2,3,4,2,3,3,4,1,2,2,3,2,2,1,3,4,2.94,3,4,3.01,1,1,3.12,2,2,1,3.76,1,2,2,3,3,2,1,1,1,1,1,1,1,2,2,2.07,3,2,3,3,3,2,2.72,2,3,3,2.04,2,3,1,2,1,2,3,2,1,3,2.83,3
Methanosarcina,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
Methylobacterium,3,3,4,4,3.85,4,3,4.86,3,2,2,3,3,2.02,3,2.23,3,3,2,3,3,2,3,4,3,2,7,3.89,3,4,3,3,3,2.48,1,2.03,1,1,1,1,2.42,3,3,4,4,2,4,3,3,4,3,3,4,3.09,3,2,3,4,3,2,4,3.03,2,2,3,2
Methylocystis,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
Methyloversatilis,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2.03,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
Microbacterium,5,7,7,6.12,7,7,6,7,5,6,6,6,6,4,7,6,5,6,3,5,5,6,6,6,3,6,5,6.01,7,6,6,7,6,2.91,3.9,4.46,4,3.54,5,4,5,7,5,5,4,6,6,6,5,7,6,6,7,3.94,5,4,5,6,5,5,6,5.04,5,3,5,3
Micrococcus,3,3,4,3,2.21,2.99,4,3,3,3,2.94,3,2,3,4,2,3,3,1,3,2,3,3,3.99,2,3,3,2.49,2.64,3,3,3,3,2.31,1,1,1,1,1,1,2,3,4,3,3,2,3,2.05,3,3.97,4,3,2.37,2.04,2.14,2,3,4,2.95,2,3.64,3,2,2,2,2
Mitsuaria,2,2.05,3,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,3,1,2.99,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,2,1,1,1,1,3,1,1,1,1,2,1,1,1
Modestobacter,1,1,1,2.13,1,2,1,1,2.35,1,1,1,1,2,1,1,2,2,1,2.99,2,2,1,1,1,2,2,1,1,2.46,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2.03,1,1,1,2,2,1,2,1,1,1,1,2,2.01,2,1,2,2,2,1,1,1
Moraxella,6,7,6,6.88,6,7,7,7,6,6,6,6,7,7,8,6.39,6,6,6,6,7,8,6,7.99,6,7,8,6,7,6,6,6.98,6,4,4.9,7,5.46,7,6,6,5,8,6,7,6,7,7,6,6,7,7,7,6,6.91,6,6,7,7,6,5,7,6,6,6,9,6
Morganella,2,1,1,2,2,3,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,2,2,3,1,1,2,2,1,1,2,2,1,1,2.09,6,4,2.61,1,3,2.67,2,4,3,3,4,5
Mycobacterium,3,4,4,4,4,4,2,3.93,4,3,3,3,3.18,3,4,3,3.35,3,2,3,3,4,4,4,1,4,4,3.97,4,4,3.87,3.01,4,2.99,1,1,1,2.77,1,2,3,4,4,4,4,4,4,4,4,4.64,3.66,4,4,2.05,3,2,3,5,4,3,4,3.55,3,2,2.93,2
Myroides,2,1,1,1,2.99,2,3,1,3,1,1,1,3,4,2,2,4,2,2,3,4,2,3,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2.75,1,1,2,1,2,3,1,2,2,2,2,2,3,2,1,1,2.16,3.46,4,3,3,1,2.12,2,2,3,1,2
Nakamurella,2,1,2,2,2.81,2,2,2,2,1,2,2,2,2,2.47,2,2,2,1,3,1,3,1,3,1,3,3,1,2.58,1,2,1,1,1,1,1,1,1,2,1,1,1,3,2.23,2.6,1,2,3,2,2,1,2,2,1,2.98,2,1,3,2,3,2,2,2,2,1,2
Neisseria,3,5,4,5,4.07,4,3.43,5,4,4,4,4,4,4,5,4,4,4,3,4,5,6.79,5,7,7,6,6.89,4,4,4,4,4.76,4,4,3.28,1,2,4,3,2,3.99,5,5,5,5,4,5,4,4,4.75,4,4,5,3.08,3.06,3,4,6,4,3,4,4,4,3,4,3
Neorhizobium,2,1,2,3,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2.98,1,2,1,2.43,2,2,2,1,2,1.3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,3,1,1,1,2,3,1,1,1,2,1,1,1,1
Nitrobacter,2,2.99,2.83,2.91,2,2,2.05,2,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2.14,2,3,1,2,2.79,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,3,1,1,2,2,2,2,1,1,1,1,2,2,2,3,2,2,1,1,1
Nocardia,2,1,2,2,2,2.47,1,1,3,2,1,2,2.84,2,1,2,2,2.56,1,2.95,2,3,2,3,1,3,2,2,3,2,2.02,2.07,2,1.99,1,1,1,1,1,1,2,3,3,2,3,2,2,2.76,2,2.04,3,2,1.99,1,2,1,2,4,2.47,2,3,2.02,3,1,2,1
Nocardioides,2,2,2,3,3,2,2.06,2.93,2,2,3,2,3,2,3.87,1,2,2,2,2,2,4,3,3.55,1,3,3,2,1,3,3,2,3,1.15,2,2.06,1,1,1,1,2,3,3,3,2.74,2,2,3,3,2,2.95,2,2,1,2,2,2,4,2,2,3,2,2,2,3,1
Nonomuraea,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1
Novibacillus,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Novosphingobium,3,3,3,5,2.04,3,3,2,3,3,2.89,3,3,2,3,1,2,3,1,3,3,5,3.17,2.38,1,3,3,2.83,2,2.49,2,3,2,1.84,2.78,1,1,2,1,1,2.02,4,3,3,2,3.56,3,2.04,1,2,3,3,2.48,2.05,3,2,2,3.29,3,2,2,3,3,2,2,1
Obesumbacterium,1,2,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2.05,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2.21,2.38,2,1,2,2
Ochrobactrum,4,3,5,4,3.94,3,4.06,4,4,2,4,3,4.37,3,4.2,4,3,4,2,4,3.72,4.89,4,3,1,4,3,4,5,4,4.15,3,4,1.64,1,1,2.01,2.83,1,2,3,5,4,3,2.07,3,3,5,2,5,4,4,4,2.03,5.05,3,3,4,4,3.69,5,7,4,4,3,2
Oscillatoria,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.02,1,1,1,1,1,1,1,1,1,1,1,2.59,2,1,1,1,1,2,1,1,2
Oscillibacter,1,1,2,1,2.05,2,1,1,2,1,2,2,1,3,1,3,2,3,1,1,1,1,2,1,1,1,2,2.16,1,1,2,2.08,3,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2.23,1,1,2,1,1,1,1,2,1,1,1,1,1,1
Pandoraea,2,3,2.02,3,3,2,3,3.99,3,2,2,2,2,1,2,1,3,2.05,2,2,2.99,2,2,2,2,2,1,2.97,3,2,2.88,3,2,1,1,1,2.03,3.01,1,1,3,2.46,2,1,1.95,2,3,1,2.02,2,2.23,1,3.09,1,6,3,2,3,5,2,2.15,7,3,2,3,2
Pannonibacter,2,2,1,2,1,3,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,3,1,1.95,1,1,1,1,1,2,2,1,1,2,1,2,2.14,1,1,2,1,2,3,1,2,1,1,2,2,1,2.12,1,1,1,3,1
Pantoea,7,9,8,7,7,9,7,7,6,8,7,8,8,6,7,7,6,7,5,6.02,7,8,8,8,4,8,6.1,7,7,7,8,7.98,7,2.33,4.9,6,6.33,6,7,6,5.04,7,7,6,4,8,7,7,6,8,6,7,7,5.96,5,6,6,7,6,6,6,6,6.99,5,6,5
Parabacteroides,4,4,5,4,4.94,4,5,5,5,4,4,3.8,4,5,5,4,5,4,3,5,7,2,5,2,2,2,4,5,4.98,4,4,5,4,1.62,2.78,1,3.54,4,4,4,4,5,2,3,1,4,4,4,4,4.85,6,5,5.69,3.04,4,4,5,3,4,4,5,4,4,5,5,3
Paraburkholderia,2,2,3,2,2.02,2,1,2,3,2,2.05,2,2,3,2,1,3,2,2,2.96,3,1,2,2,1,2,1,2.01,2,2,2,2,2,1.18,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,3,1,2.97,2,2,3,2,1,3,2.44,2,2.58,1,1
Paracoccus,3,4,4,4,3.69,5,3,4,3.83,4,3.03,4,4,3,3,2,3,4,1,3,3,4,4,4,2,3.88,3,3,4.56,4,4,3,4,2.17,2,4,1,1,1,3.22,3,4,3,4,4,4,4,5,3.03,4,3,3,3.78,1,3,3,3,4,4,3,4,3.99,3,2,3,2
Parageobacillus,1,2,1,1,1,3,1,1,2.05,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.35,1,1,1,1,1,1,2,1,1,1,1.97,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1
Pararhodospirillum,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2.48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Parvimonas,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,3,2,2,1,3,2,2,3,2,1,2,2.08,1,2,1.83,1,1,1,1,2,1,1,1,1,2,1,1,2.11,1,1,2,3,1,2,1,2,2.99,3,3,2,1,1,2,1,1,3,2
Pectobacterium,5,6.02,6.35,5,6,7,6,5.02,6,6,6,6,6,5,6,6,6,6,4,6,6,3,7,3,2.17,2.98,4,5.49,6,5,6,5.98,5,1.98,3.9,4.29,4,4,5,5,4,6,3,3.18,2.09,6,6,5.26,5,7,5,6,5,4.97,5,6,5,3.69,5,4,7,5,5,4,5,4
Pediococcus,2,2,1,3,2,2,3,3,2.99,2,3,2,2.07,3,1,3,2,2,4,3,3,2,2,1,1,1,1,1,2,3,2,3,2,6,5.83,2.06,1,1,1,1,3,3,3,3,3,2,2,1,4,3,3,2,2,2.05,5,3,2.01,2,3,3,2.2,2,3,3,2,2
Phenylobacterium,1,2,1,1,1,2,3,2,2.1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,3,1,2,2,2,1,2.11,2,1.23,1,1,1,1,1,1,1,1,2,3,1,2,2,2,1,1,2,3,1,1,1,1,2,3,2,2,1,1,1,1,1,1
Phietavirus,2,1,2,1,1,2,2,1,2.44,2,3,2,2,1,1,2,3,2,1,3,1,3,2,2,1,3,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,3,1,3,5,2,2,2,1,2,2,3,2,1,2,2,1,3,1,1,1,2,2,3,1,3
Photobacterium,1,1,1,1,1,2,1,2.16,3,1,1,1,1,2,1,1,2,3,3,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,4
Photorhabdus,2,1,1,1,2,2,1,1,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,3,2,1,1,2,1,1,2,2,2,2,1
Pimelobacter,2.59,4,3,3,3,3,3,3,3.78,2.94,3,2,3,2,2.47,2,2,3,1,3,2,3,3,3,1,3.72,2.47,2.55,3,2.45,2.85,3,3,1.93,1,1,1,1,1,2,2,2.4,3,2.23,3,2.76,3,3,3,3.03,3,3,3,1,2,2.72,2.56,4,2.08,2,3,2.01,2,2,2,1
Planctomyces,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Planococcus,2,1,2.88,3,2.79,2,2,3,3,3,2.02,2,2,4,3,3,3,3,1,3,3.01,2,2,2,1,1,2,2,2,3,2,2,2.16,1,1,1,1,2,1,1,1,3,1,2,2,3,3,3,1,2,3,2,2,2.05,2,3,2,2,2,2,3,2.97,3,2,2,2
Plesiomonas,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,2,1,2.9,1,1,1,2,1,2,1,1,2.02,1,2,1,1
Pluralibacter,1,2,3,2.93,2.73,3,1,3,2,2.92,2,2,2,2,2,2.25,2,2,1,2,2,1,3.02,1,1,1,1,2.85,3,2,3,2.93,2,1,1,3,1,1,1,1,2,3,1,2,1,3,3,1,2.04,2,2,2,2,1,3,2,2,2,2,2,3,3,1,2,2,1
Polymorphum,2,1,2,2.89,1,2,3,1,2,1,2,1,2,2.01,1,2,1,2,2,2,1,1,1,2,1,1,1,2.85,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2.01,2,1,2.1,1,1,2,1,2,3,1,2,2,2,1,1,1
Porphyromonas,3,3,3,3,3,3,4,3.94,2,2.95,3,1,3,2,3,3,3,3,1,4,4,3,3,3,5,3,5,2.45,3,2,3,3.11,3,1.88,2.72,1,1,3,2,2,2,2,3,3,2,3,6,3,2,3,3.03,3,3.6,1,3,2.99,2,3,2,3,3,2.03,1,1,2.8,2
Prevotella,5,5,5,6,6,6,6,5,6,5,5,5,5.03,6,6,5,6,5,4,6,7,7,5,6.99,7,7,7,5,6.69,5,5,5,6,4,3.9,5,5.54,6,5,4.4,4,6,6,6,10,5,6,6,5,6,6,7,5,4.91,4,6,6,7,6,4,5,5,5.98,6,6,7
Propionibacterium,9,9,9,10,9,10,9,9,9,9,9,9,9,7,9,9,9,9,7,9,8,10,9,10,9,10,10,9,9,9,9,9,9,7,7.9,9,9,9,9,9,7,9,10,10,9,9,10,9,7,9,9,10,9,9,8,8,9,10,10,7,9,10,9,7,9,7
Proteus,2.09,3,4,1,3,2,2,2,4,2,2,2,2.05,5.12,3,2,3,2,2,3,5,2,2,1,1,1,1,3,1,2.01,1,3,3,1,3.32,2.04,1,1,1,1,3,3,2,2,2.23,3.56,1,1,3,3,3,3,3.82,1,2,3,2,2,2,3,2.16,2,3,5,4,3
Providencia,1,2,1,1,1,2.46,1,2.15,2,2,2,2,1,1,2,2,1,2,1,3,2,1,1,1,1,1,1,1,1,2,2,1,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2.46,1,3,1,1
Pseudoalteromonas,2,2.01,2,2,3.99,2,2,2,3,2,1,1,1,4,3,2,3.86,2,2,3,4,1,2,1,2,1,1,2.89,1,2,2,3,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,3,1,3,2,2,1,2,3,3,2,2,2,2,2,2,2.57,2,1
Pseudomonas,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,5,9,10,10,10,10,10,10,10,8,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pseudonocardia,2,3,2,2.07,2,2,3,2,2,1,2.94,1,2,1,1,1,1,2,1,2.01,2.03,2,3,3,1,3,3,1,1,1,1,2,2,1.72,1,1,1,1,1,1,1,3,2,3,3,2,2,2,2,1,2,2,2,1,2.15,1,2,3,2,2,3,2,1,1,1,1
Pseudopedobacter,3,3,3,3,2.95,2,3,2.12,3,2,2,3,2,2,1,2.99,3.03,3,2,3,3.03,3,3,2.01,2,3,4,2.98,4,2,3,1,3,1,2,1,2.02,1,1,1,2,3,3,3,2.1,2.83,3,2,2,2,3,3,3,1,2.18,3,3,4,3,2,2,4,2.18,2,4,4
